	EntityA	EntityB	Effect	Mechanism
25328	RELA	MET	up-regulates quantity	transcriptional regulation
25335	RELA	TRAF1	up-regulates quantity by expression	transcriptional regulation
25325	RELA	IL1B	up-regulates quantity by expression	transcriptional regulation
25326	RELA	IL6	up-regulates quantity by expression	transcriptional regulation
25320	RELA	CD80	up-regulates quantity by expression	transcriptional regulation
14609	RELA	TRAF2	up-regulates quantity by expression	transcriptional regulation
25322	RELA	COMT	down-regulates quantity by repression	transcriptional regulation
25323	RELA	IEX-1L	up-regulates quantity by expression	transcriptional regulation
25324	RELA	IL1B	down-regulates activity	transcriptional regulation
25348	REST	SCN2A	down-regulates quantity by repression	transcriptional regulation
25345	REST	CARTPT	down-regulates quantity by repression	transcriptional regulation
25344	REST	BDNF	down-regulates quantity by repression	transcriptional regulation
25346	REST	PENK	down-regulates quantity by repression	transcriptional regulation
25392	RFX1	MYC	down-regulates quantity by repression	transcriptional regulation
25391	RFX1	HLA-DOB	up-regulates quantity by expression	transcriptional regulation
25393	RFX4	IFT172	up-regulates quantity by expression	transcriptional regulation
25593	RORA	CAV3	up-regulates quantity by expression	transcriptional regulation
25594	RORA	CPT1B	up-regulates quantity by expression	transcriptional regulation
25595	RORC	IL17A	up-regulates	transcriptional regulation
25925	RREB1	KLK3	down-regulates quantity by repression	transcriptional regulation
25943	RUNX1	BAALC	up-regulates quantity by expression	transcriptional regulation
5124	RUNX1	CCL3	up-regulates quantity by expression	transcriptional regulation
25958	RUNX1	SPI1	up-regulates quantity by expression	transcriptional activation
25956	RUNX1	miR-155	up-regulates quantity by expression	transcriptional regulation
25955	RUNX1	MECOM	up-regulates quantity by expression	transcriptional activation
25954	RUNX1	KIT	up-regulates quantity by expression	transcriptional activation
25953	RUNX1	ITGA2B	up-regulates quantity by expression	transcriptional regulation
25957	RUNX1	MYC	down-regulates quantity by repression	transcriptional regulation
25951	RUNX1	hsa-mir-223	up-regulates quantity by expression	transcriptional activation
25950	RUNX1	HHEX	up-regulates quantity	transcriptional regulation
25949	RUNX1	GP1BA	up-regulates quantity by expression	transcriptional regulation
25947	RUNX1	ELANE	up-regulates quantity by expression	transcriptional regulation
25944	RUNX1	CDKN2A	up-regulates quantity by expression	transcriptional activation
25977	RUNX2	SP7	up-regulates	transcriptional regulation
25978	RUNX2	SPP1	up-regulates quantity by expression	transcriptional regulation
25979	RUNX2	SPP1	up-regulates quantity	transcriptional regulation
25980	RUNX2	TWIST1	up-regulates quantity by expression	transcriptional regulation
5126	RUNX2	BMP2	up-regulates quantity by expression	transcriptional regulation
5128	RUNX2	VEGFC	up-regulates quantity by expression	transcriptional regulation
5127	RUNX2	VEGFA	up-regulates quantity by expression	transcriptional regulation
4925	RUNX2	TNFSF11	up-regulates quantity by expression	transcriptional regulation
25976	RUNX2	SNAI3	up-regulates quantity by expression	transcriptional regulation
25974	RUNX2	RUNX2	up-regulates quantity by expression	transcriptional regulation
25975	RUNX2	SNAI2	up-regulates quantity by expression	transcriptional regulation
25959	RUNX2	ALPL	up-regulates quantity by expression	transcriptional regulation
25970	RUNX2	MMP2	up-regulates quantity by expression	transcriptional regulation
25969	RUNX2	MMP13	up-regulates quantity by expression	transcriptional regulation
25968	RUNX2	ENPP1	up-regulates quantity by expression	transcriptional regulation
25967	RUNX2	ELANE	up-regulates quantity by expression	transcriptional regulation
25961	RUNX2	BGLAP	up-regulates quantity by expression	transcriptional regulation
25963	RUNX2	COL1A1	up-regulates quantity by expression	transcriptional regulation
25964	RUNX2	COL1A2	up-regulates quantity by expression	transcriptional regulation
25965	RUNX2	COL2A1	up-regulates quantity by expression	transcriptional regulation
25988	RUNX3	HSPD1	down-regulates quantity by repression	transcriptional regulation
25989	RUNX3	IKBKB	down-regulates quantity by repression	transcriptional regulation
25993	RUNX3	PEA15	down-regulates quantity by repression	transcriptional regulation
25991	RUNX3	ING4	up-regulates quantity by expression	transcriptional regulation
25987	RUNX3	FADD	up-regulates quantity by expression	transcriptional regulation
25994	RUNX3	TIAL1	down-regulates quantity by repression	transcriptional regulation
25996	RUNX3	TXN2	down-regulates quantity by repression	transcriptional regulation
25990	RUNX3	ING1	up-regulates quantity by expression	transcriptional regulation
25986	RUNX3	ELANE	up-regulates quantity by expression	transcriptional regulation
25995	RUNX3	TRAF6	up-regulates quantity by expression	transcriptional regulation
25984	RUNX3	CHUK	down-regulates quantity by repression	transcriptional regulation
25983	RUNX3	CFLAR	down-regulates quantity by repression	transcriptional regulation
25982	RUNX3	CASP2	up-regulates quantity by expression	transcriptional regulation
25985	RUNX3	DNASE1	up-regulates quantity by expression	transcriptional regulation
25981	RUNX3	CAPN10	up-regulates quantity by expression	transcriptional regulation
26003	RXRA	CPT1B	up-regulates quantity by expression	transcriptional regulation
26022	RXRB	RARB	up-regulates quantity by expression	transcriptional regulation
26078	SALL4	ZEB1	up-regulates quantity by expression	transcriptional regulation
26072	SALL4	ABCA3	up-regulates quantity by expression	transcriptional regulation
26073	SALL4	ABCG2	up-regulates quantity by expression	transcriptional regulation
26074	SALL4	CDH1	down-regulates quantity by repression	transcriptional regulation
26075	SALL4	HOXA9	up-regulates quantity by expression	transcriptional regulation
26076	SALL4	PTEN	down-regulates quantity by repression	transcriptional regulation
26077	SALL4	SALL1	down-regulates quantity by repression	transcriptional regulation
26093	SATB1	SPARC	up-regulates quantity by expression	transcriptional regulation
26094	SATB1	TAF11	up-regulates quantity by expression	transcriptional regulation
26091	SATB1	MYB	down-regulates quantity by repression	transcriptional regulation
26092	SATB1	NUMB	down-regulates quantity by repression	transcriptional regulation
26090	SATB1	IL23A	down-regulates quantity by repression	transcriptional regulation
5141	SATB1	HSPA6	down-regulates quantity by repression	transcriptional regulation
5139	SATB1	AREG	down-regulates quantity by repression	transcriptional regulation
5140	SATB1	CD52	up-regulates quantity by expression	transcriptional regulation
5142	SATB1	MYC	down-regulates quantity by repression	transcriptional regulation
26089	SATB1	IGFBP2	up-regulates quantity by expression	transcriptional regulation
26096	SATB2	UPF3B	up-regulates quantity by expression	transcriptional regulation
26228	SETBP1	HOXA10	up-regulates quantity by expression	transcriptional regulation
26229	SETBP1	HOXA9	up-regulates quantity by expression	transcriptional regulation
26317	SHOX	NPPB	up-regulates quantity by expression	transcriptional regulation
5205	SIX1	EZR	up-regulates quantity	transcriptional regulation
5206	SIX1	MYOG	up-regulates quantity by expression	transcriptional regulation
34	SIX4	UBA52	up-regulates quantity by expression	transcriptional regulation
101	SMAD1	PPARG	up-regulates quantity by expression	transcriptional regulation
131	SMAD3	MYC	down-regulates quantity by repression	transcriptional regulation
125	SMAD3	CDKN2B	up-regulates quantity by expression	transcriptional regulation
124	SMAD3	CDC25A	down-regulates quantity by repression	transcriptional regulation
123	SMAD3	BCL2	down-regulates quantity by repression	transcriptional repression
168	SMAD4	MYC	down-regulates quantity by repression	transcriptional regulation
326	SNAI1	SERPINE1	up-regulates quantity by expression	transcriptional regulation
322	SNAI1	CDH1	down-regulates quantity	transcriptional regulation
321	SNAI1	CDH1	down-regulates quantity by repression	transcriptional regulation
5243	SNAI1	PLAU	up-regulates quantity by expression	transcriptional regulation
5242	SNAI1	HPGD	down-regulates quantity by repression	transcriptional regulation
323	SNAI1	CLDN7	down-regulates quantity by repression	transcriptional regulation
328	SNAI2	CCND1	up-regulates quantity by expression	transcriptional regulation
329	SNAI2	CD44	up-regulates quantity by expression	transcriptional regulation
330	SNAI2	CDH1	down-regulates quantity by repression	transcriptional regulation
333	SNAI2	ESR1	down-regulates quantity by repression	transcriptional regulation
332	SNAI2	CXCR4	up-regulates quantity by expression	transcriptional regulation
334	SNAI2	HPGD	down-regulates quantity by repression	transcriptional regulation
335	SNAI2	JAG1	up-regulates quantity by expression	transcriptional regulation
336	SNAI2	MMP9	up-regulates quantity by expression	transcriptional regulation
337	SNAI2	UBE2D3	down-regulates quantity by repression	transcriptional regulation
338	SNAI2	VDR	down-regulates quantity by repression	transcriptional regulation
331	SNAI2	CXCL12	up-regulates quantity by expression	transcriptional regulation
438	SOX11	SPAST	up-regulates quantity by expression	transcriptional regulation
5257	SOX2	ABCC6	up-regulates quantity by expression	transcriptional regulation
5258	SOX2	EGFR	up-regulates quantity by expression	transcriptional regulation
440	SOX2	NR2E1	up-regulates quantity by expression	transcriptional regulation
439	SOX2	ABCC3	up-regulates quantity by expression	transcriptional regulation
448	SOX4	DICER1	up-regulates quantity	transcriptional regulation
450	SOX5	COL2A1	up-regulates quantity by expression	transcriptional regulation
455	SOX6	HBG1	down-regulates quantity by repression	transcriptional regulation
456	SOX6	HBG2	down-regulates quantity by repression	transcriptional regulation
457	SOX6	MEST	up-regulates quantity by expression	transcriptional regulation
452	SOX6	COL2A1	up-regulates quantity by expression	transcriptional regulation
451	SOX6	CEBPA	up-regulates quantity by expression	transcriptional regulation
458	SOX6	PPARG	up-regulates quantity by expression	transcriptional regulation
461	SOX9	CEBPB	down-regulates	transcriptional regulation
460	SOX9	CDKN1A	up-regulates quantity by expression	transcriptional regulation
459	SOX9	BEST1	up-regulates quantity by expression	transcriptional regulation
463	SOX9	COL11A2	up-regulates quantity by expression	transcriptional regulation
5259	SOX9	CDX2	down-regulates quantity by repression	transcriptional regulation
5260	SOX9	CEBPB	down-regulates quantity by repression	transcriptional regulation
465	SOX9	COL9A2	up-regulates quantity by expression	transcriptional regulation
466	SOX9	DCC	up-regulates quantity by expression	transcriptional regulation
469	SOX9	PRAME	down-regulates quantity by repression	transcriptional regulation
464	SOX9	COL2A1	up-regulates quantity by expression	transcriptional regulation
462	SOX9	CEBPD	down-regulates quantity by repression	transcriptional regulation
493	SP1	NDUFV2	up-regulates quantity by expression	transcriptional regulation
494	SP1	PDGFC	up-regulates quantity by expression	transcriptional regulation
495	SP1	PON1	up-regulates quantity by expression	transcriptional regulation
496	SP1	POR	up-regulates quantity by expression	transcriptional regulation
497	SP1	RHO	up-regulates quantity by expression	transcriptional regulation
498	SP1	SCNN1A	up-regulates quantity by expression	transcriptional regulation
500	SP1	SLC19A3	up-regulates quantity by expression	transcriptional regulation
504	SP1	SOD1	up-regulates quantity by expression	transcriptional regulation
502	SP1	SLC5A8	up-regulates quantity by expression	transcriptional regulation
503	SP1	SLC9A3	up-regulates quantity by expression	transcriptional regulation
492	SP1	NDUFV1	up-regulates quantity by expression	transcriptional regulation
506	SP1	TBXA2R	up-regulates quantity by expression	transcriptional regulation
507	SP1	TGFB1	up-regulates quantity by expression	transcriptional regulation
508	SP1	TNC	up-regulates quantity by expression	transcriptional regulation
509	SP1	UGCG	up-regulates quantity by expression	transcriptional regulation
510	SP1	UGT1A4	up-regulates quantity by expression	transcriptional regulation
501	SP1	SLC2A1	up-regulates quantity by expression	transcriptional regulation
491	SP1	MAOB	up-regulates quantity by expression	transcriptional regulation
489	SP1	KRT16	up-regulates quantity by expression	transcriptional regulation
470	SP1	ABCB1	up-regulates quantity by expression	transcriptional regulation
471	SP1	ADAM10	up-regulates quantity by expression	transcriptional regulation
472	SP1	ALOX5	up-regulates quantity by expression	transcriptional regulation
473	SP1	ATP2C1	up-regulates quantity by expression	transcriptional regulation
474	SP1	CBS	up-regulates quantity by expression	transcriptional regulation
475	SP1	CD34	up-regulates quantity by expression	transcriptional regulation
476	SP1	CDKN2B	up-regulates quantity by expression	transcriptional activation
477	SP1	CHGA	up-regulates quantity by expression	transcriptional regulation
478	SP1	ENG	up-regulates quantity by expression	transcriptional regulation
479	SP1	FMR1	up-regulates quantity by expression	transcriptional regulation
481	SP1	GGH	up-regulates quantity by expression	transcriptional regulation
482	SP1	GP6	up-regulates quantity by expression	transcriptional regulation
483	SP1	HGF	up-regulates quantity by expression	transcriptional regulation
484	SP1	HYAL1	down-regulates quantity by repression	transcriptional regulation
485	SP1	ID1	up-regulates quantity by expression	transcriptional activation
486	SP1	IFITM5	up-regulates quantity by expression	transcriptional regulation
488	SP1	KLK3	up-regulates quantity by expression	transcriptional regulation
490	SP1	LORICRIN	up-regulates quantity by expression	transcriptional regulation
480	SP1	GFER	up-regulates quantity by expression	transcriptional regulation
499	SP1	SLC19A1	up-regulates quantity by expression	transcriptional regulation
5261	SP1	CD151	up-regulates quantity by expression	transcriptional regulation
5267	SP1	THBD	up-regulates quantity by expression	transcriptional regulation
5266	SP1	PHGDH	up-regulates quantity by expression	transcriptional regulation
5265	SP1	MET	up-regulates quantity by expression	transcriptional regulation
14656	SP1	DHCR24	up-regulates quantity by expression	transcriptional regulation
5263	SP1	CYP1B1	up-regulates quantity by expression	transcriptional regulation
5264	SP1	CYP27A1	up-regulates quantity by expression	transcriptional regulation
523	SP3	SOX18	down-regulates quantity by repression	transcriptional regulation
522	SP3	SLC9A3	up-regulates quantity by expression	transcriptional regulation
521	SP3	SCNN1A	up-regulates quantity by expression	transcriptional regulation
14657	SP3	SLC19A3	up-regulates quantity by expression	transcriptional regulation
518	SP3	KLK3	up-regulates quantity by expression	transcriptional regulation
516	SP3	IFITM5	up-regulates quantity by expression	transcriptional regulation
515	SP3	HGF	up-regulates quantity by expression	transcriptional regulation
514	SP3	FMR1	up-regulates quantity by expression	transcriptional regulation
513	SP3	CYP27A1	up-regulates quantity by expression	transcriptional regulation
512	SP3	CBS	up-regulates quantity by expression	transcriptional regulation
519	SP3	LORICRIN	down-regulates quantity by repression	transcriptional regulation
520	SP3	MAOB	down-regulates quantity by repression	transcriptional regulation
5268	SP4	RHO	up-regulates quantity by expression	transcriptional regulation
525	SP4	MAOB	up-regulates quantity by expression	transcriptional regulation
5270	SP7	IFITM5	up-regulates quantity by expression	transcriptional regulation
5269	SP7	BGLAP	up-regulates quantity by expression	transcriptional regulation
539	SPDEF	MMP13	down-regulates quantity by repression	transcriptional regulation
540	SPDEF	MMP9	down-regulates quantity by repression	transcriptional regulation
574	SPI1	NAB2	up-regulates quantity by expression	transcriptional activation
554	SPI1	ACP5	up-regulates quantity by expression	transcriptional regulation
555	SPI1	ANXA1	down-regulates quantity by repression	transcriptional repression
557	SPI1	CD14	up-regulates quantity by expression	transcriptional activation
558	SPI1	CD68	down-regulates quantity by repression	transcriptional regulation
560	SPI1	FCER1A	up-regulates quantity by expression	transcriptional regulation
561	SPI1	FCGR1A	up-regulates quantity by expression	transcriptional activation
562	SPI1	FLI1	up-regulates quantity by expression	transcriptional activation
564	SPI1	GATA2	down-regulates quantity by repression	transcriptional repression
566	SPI1	ITGAM	up-regulates quantity	transcriptional activation
567	SPI1	JUN	up-regulates quantity by expression	transcriptional activation
569	SPI1	MEIS1	up-regulates quantity by expression	transcriptional activation
570	SPI1	miR-146a	up-regulates quantity by expression	transcriptional regulation
5273	SPI1	EGR2	up-regulates quantity by expression	transcriptional activation
5274	SPI1	miR-34	up-regulates quantity by expression	transcriptional regulation
571	SPI1	miR-155	up-regulates quantity by expression	transcriptional regulation
577	SPI1	TAL2	up-regulates quantity by expression	transcriptional activation
572	SPI1	miR-338	up-regulates quantity by expression	transcriptional regulation
575	SPI1	SPI1	up-regulates quantity by expression	transcriptional activation
612	SRCAP	KLK3	up-regulates quantity by expression	transcriptional regulation
848	SREBF1	SND1	down-regulates quantity by repression	transcriptional regulation
846	SREBF1	PKM	up-regulates quantity by expression	transcriptional regulation
5319	SREBF1	FASN	up-regulates quantity by expression	transcriptional regulation
843	SREBF1	MTTP	up-regulates quantity by expression	transcriptional regulation
842	SREBF1	LRP1	down-regulates quantity by repression	transcriptional regulation
840	SREBF1	IDH1	up-regulates quantity by expression	transcriptional regulation
844	SREBF1	PCSK9	up-regulates quantity by expression	transcriptional regulation
5320	SREBF2	PCSK9	up-regulates quantity by expression	transcriptional regulation
850	SREBF2	ABCG5	down-regulates quantity by repression	transcriptional regulation
851	SREBF2	ABCG8	down-regulates quantity by repression	transcriptional regulation
852	SREBF2	IDH1	up-regulates quantity by expression	transcriptional regulation
853	SREBF2	LDLR	up-regulates quantity by expression	transcriptional regulation
854	SREBF2	LRP1	down-regulates quantity by repression	transcriptional regulation
855	SREBF2	NPC1L1	up-regulates quantity by expression	transcriptional regulation
857	SREBF2	PON2	up-regulates quantity by expression	transcriptional regulation
858	SREBF2	SND1	up-regulates quantity by expression	transcriptional regulation
5321	SREBF2	PON1	up-regulates quantity by expression	transcriptional regulation
860	SRF	CNN1	up-regulates quantity by expression	transcriptional regulation
859	SRF	ACTA2	up-regulates quantity by expression	transcriptional regulation
863	SRF	PLAU	up-regulates quantity by expression	transcriptional regulation
864	SRF	PLG	up-regulates quantity by expression	transcriptional regulation
866	SRF	SERPINE1	down-regulates quantity by repression	transcriptional regulation
867	SRF	TAGLN	up-regulates quantity by expression	transcriptional regulation
954	STAT1	NOS2	up-regulates quantity by expression	transcriptional regulation
952	STAT1	MUC4	up-regulates quantity by expression	transcriptional regulation
951	STAT1	MMP13	down-regulates quantity by repression	transcriptional regulation
950	STAT1	KRT17	up-regulates quantity by expression	transcriptional regulation
947	STAT1	IRF7	up-regulates quantity by expression	transcriptional regulation
942	STAT1	CIITA	up-regulates quantity	transcriptional regulation
945	STAT1	IL12B	up-regulates quantity by expression	transcriptional regulation
944	STAT1	IL12A	up-regulates quantity by expression	transcriptional regulation
956	STAT1	S100A10	up-regulates quantity by expression	transcriptional regulation
941	STAT1	CIITA	up-regulates quantity by expression	transcriptional regulation
958	STAT1	TAP1	up-regulates quantity by expression	transcriptional regulation
960	STAT1	TLR3	up-regulates quantity by expression	transcriptional regulation
943	STAT1	CIITA	up-regulates	transcriptional regulation
5343	STAT1	SOCS1	up-regulates quantity by expression	transcriptional regulation
5344	STAT1	SOCS3	up-regulates quantity by expression	transcriptional regulation
14038	STAT3	POMC	up-regulates quantity by expression	transcriptional regulation
972	STAT3	FBXO32	up-regulates quantity by expression	transcriptional regulation
974	STAT3	HAMP	up-regulates quantity by expression	transcriptional regulation
975	STAT3	HSPA1A	up-regulates quantity by expression	transcriptional regulation
976	STAT3	HSPA1B	up-regulates quantity by expression	transcriptional regulation
977	STAT3	IL10	up-regulates	transcriptional regulation
979	STAT3	IL1RN	up-regulates quantity by expression	transcriptional regulation
981	STAT3	KRT17	up-regulates quantity by expression	transcriptional regulation
994	STAT3	VEGFA	up-regulates quantity by expression	transcriptional regulation
993	STAT3	TGFB1	up-regulates	transcriptional regulation
991	STAT3	SOCS3	up-regulates quantity by expression	transcriptional regulation
990	STAT3	SALL4	up-regulates quantity by expression	transcriptional regulation
970	STAT3	CEBPD	up-regulates quantity by expression	transcriptional regulation
989	STAT3	S100A9	up-regulates quantity by expression	transcriptional activation
984	STAT3	MYOD1	up-regulates quantity by expression	transcriptional regulation
968	STAT3	CD46	up-regulates quantity by expression	transcriptional regulation
967	STAT3	CD274	up-regulates quantity by expression	transcriptional regulation
5348	STAT3	HGF	up-regulates quantity by expression	transcriptional regulation
5350	STAT3	SOCS3	up-regulates quantity by expression	transcriptional activation
964	STAT3	CASP3	up-regulates quantity by expression	transcriptional regulation
965	STAT3	CCND1	up-regulates quantity by expression	transcriptional regulation
963	STAT3	BIRC5	up-regulates quantity by expression	transcriptional activation
997	STAT4	S100A4	up-regulates quantity by expression	transcriptional regulation
996	STAT4	PRF1	up-regulates quantity by expression	transcriptional regulation
1013	STAT5A	PIM1	up-regulates quantity by expression	transcriptional regulation
1009	STAT5A	IGF1	up-regulates quantity by expression	transcriptional regulation
1010	STAT5A	IRF5	up-regulates quantity by expression	transcriptional regulation
1016	STAT5A	PIM	up-regulates quantity by expression	transcriptional regulation
1003	STAT5A	DNMT3A	up-regulates quantity	transcriptional regulation
1021	STAT5A	RAD51	up-regulates quantity by expression	transcriptional regulation
1015	STAT5A	PIM2	up-regulates quantity by expression	transcriptional regulation
1000	STAT5A	BCL2L1	up-regulates quantity by expression	transcriptional regulation
5726	STAT5A	SOCS3	up-regulates quantity by expression	transcriptional regulation
5725	STAT5A	SOCS2	up-regulates quantity by expression	transcriptional regulation
5723	STAT5A	CISH	up-regulates quantity by expression	transcriptional regulation
1008	STAT5A	HBB	up-regulates quantity by expression	transcriptional regulation
1001	STAT5A	CDKN1A	up-regulates quantity by expression	transcriptional activation
1007	STAT5A	HBA1	up-regulates quantity by expression	transcriptional regulation
998	STAT5A	Adipogenesis	up-regulates	transcriptional regulation
5351	STAT5A	MEF2C	down-regulates quantity by repression	transcriptional regulation
5352	STAT5A	miR-155	up-regulates quantity by expression	transcriptional regulation
1033	STAT6	PPARGC1A	up-regulates quantity by expression	transcriptional regulation
1034	STAT6	PPARG	up-regulates quantity by expression	transcriptional regulation
1032	STAT6	PPARA	up-regulates quantity by expression	transcriptional regulation
1030	STAT6	KLF4	up-regulates quantity by expression	transcriptional regulation
1029	STAT6	KLF4	up-regulates quantity by expression	transcriptional activation
1028	STAT6	KDM6B	up-regulates quantity by expression	transcriptional regulation
1027	STAT6	HSD3B2	up-regulates quantity by expression	transcriptional regulation
1025	STAT6	CHI3L1	up-regulates quantity by expression	transcriptional regulation
1035	STAT6	RETN	up-regulates quantity by expression	transcriptional regulation
5355	STAT6	MRC1	up-regulates quantity by expression	transcriptional regulation
1036	STAT6	SLC26A4	up-regulates quantity by expression	transcriptional regulation
1037	STAT6	SOCS1	up-regulates quantity by expression	transcriptional regulation
1315	TAL1	ANGPT2	up-regulates quantity by expression	transcriptional regulation
1316	TAL1	ERG	up-regulates quantity by expression	transcriptional regulation
1319	TAL1	FUBP1	up-regulates quantity by expression	transcriptional regulation
1320	TAL1	MEF2C	up-regulates quantity by expression	transcriptional regulation
1381	TBP	LIN28B	up-regulates quantity by expression	transcriptional regulation
1382	TBX1	FLT4	up-regulates quantity by expression	transcriptional regulation
1389	TBX2	CDKN2A	down-regulates quantity by repression	transcriptional regulation
1388	TBX2	CDKN1A	down-regulates quantity by repression	transcriptional regulation
1386	TBX21	IL4	down-regulates	transcriptional regulation
1385	TBX21	IL10	down-regulates quantity by repression	transcriptional regulation
1384	TBX21	IFNG	up-regulates quantity by expression	transcriptional regulation
1390	TBX3	CDKN1A	down-regulates quantity by repression	transcriptional regulation
5417	TBX3	CDH1	down-regulates quantity by repression	transcriptional regulation
1391	TBX3	CDKN2A	down-regulates quantity by repression	transcriptional regulation
1394	TBX5	MTA2	down-regulates quantity by repression	transcriptional regulation
1395	TBX5	MTSS1	up-regulates quantity by expression	transcriptional regulation
1396	TBX5	NPPA	up-regulates quantity by expression	transcriptional regulation
1393	TBX5	FGF10	up-regulates quantity by expression	transcriptional regulation
1397	TBX5	SNCG	down-regulates quantity by repression	transcriptional regulation
1392	TBX5	CDKN2A	up-regulates quantity by expression	transcriptional regulation
1405	TCF12	NOTCH3	up-regulates quantity by expression	transcriptional regulation
1406	TCF12	PTCRA	up-regulates quantity by expression	transcriptional regulation
1407	TCF3	BBC3	down-regulates quantity by repression	transcriptional regulation
1408	TCF3	CDKN1A	up-regulates quantity by expression	transcriptional regulation
1409	TCF3	CR2	down-regulates quantity by repression	transcriptional regulation
1411	TCF3	NOTCH1	up-regulates quantity by expression	transcriptional regulation
1414	TCF4	CNTNAP2	up-regulates quantity by expression	transcriptional regulation
1412	TCF4	ABCB1	up-regulates quantity by expression	transcriptional regulation
1413	TCF4	CCND1	up-regulates quantity by expression	transcriptional regulation
1415	TCF4	MYC	up-regulates quantity by expression	transcriptional regulation
1417	TCF4	NRXN1	up-regulates quantity by expression	transcriptional regulation
1418	TCF4	SOX9	up-regulates quantity by expression	transcriptional regulation
1419	TCF4	SSTR2	up-regulates quantity by expression	transcriptional regulation
1420	TCF7L2	Adipogenesis	down-regulates activity	transcriptional regulation
5422	TEAD1	MSLN	up-regulates quantity by expression	transcriptional regulation
1439	TEAD1	MYF5	up-regulates quantity by expression	transcriptional regulation
5421	TEAD1	FOXO	up-regulates quantity by expression	transcriptional regulation
1436	TEAD1	FOXM1	up-regulates quantity by expression	transcriptional regulation
1435	TEAD1	CCND1	up-regulates quantity by expression	transcriptional regulation
1433	TEAD1	BMP4	up-regulates quantity by expression	transcriptional regulation
1437	TEAD1	FOXO3	up-regulates quantity by expression	transcriptional regulation
1446	TEF	NPPB	unknown	transcriptional regulation
1486	TET1	SLIT2	up-regulates quantity by expression	transcriptional regulation
1484	TET1	HOXA9	up-regulates quantity by expression	transcriptional regulation
1485	TET1	PTEN	up-regulates quantity by expression	transcriptional regulation
1487	TET1	ZNF382	up-regulates quantity by expression	transcriptional regulation
1493	TFAP2A	ADM	up-regulates quantity by expression	transcriptional regulation
1494	TFAP2A	CRABP2	up-regulates quantity by expression	transcriptional regulation
1499	TFAP2A	SULT1E1	up-regulates quantity by expression	transcriptional regulation
1498	TFAP2A	LNPEP	up-regulates quantity by expression	transcriptional regulation
1497	TFAP2A	ECM1	up-regulates quantity by expression	transcriptional regulation
1496	TFAP2A	DCC	up-regulates quantity by expression	transcriptional regulation
1495	TFAP2A	CRYAB	up-regulates quantity by expression	transcriptional regulation
1500	TFAP2B	CRYAB	up-regulates quantity by expression	transcriptional regulation
5431	TFAP2B	PTGDS	up-regulates quantity by expression	transcriptional regulation
5430	TFAP2B	ADIPOQ	down-regulates quantity by repression	transcriptional regulation
1503	TFAP2C	ECM1	up-regulates quantity by expression	transcriptional regulation
1502	TFAP2C	CRABP2	up-regulates quantity by expression	transcriptional regulation
1504	TFAP2C	SULT1E1	up-regulates quantity by expression	transcriptional regulation
1507	TFAP4	SALL2	up-regulates quantity by expression	transcriptional regulation
1505	TFAP4	MDM2	down-regulates quantity by repression	transcriptional regulation
1509	TFCP2	TF	up-regulates quantity by expression	transcriptional regulation
1513	TFDP1	MYBL2	up-regulates quantity by expression	transcriptional regulation
1515	TFDP1	RRM1	up-regulates quantity by expression	transcriptional regulation
1510	TFDP1	CCNE1	up-regulates quantity by expression	transcriptional regulation
1511	TFDP1	CDK1	up-regulates quantity by expression	transcriptional regulation
1512	TFDP1	DHFR	up-regulates quantity by expression	transcriptional regulation
1514	TFDP1	PCNA	up-regulates quantity by expression	transcriptional regulation
1516	TFDP1	TYMS	up-regulates quantity by expression	transcriptional regulation
1517	TFE3	MYH9	up-regulates quantity by expression	transcriptional regulation
1518	TFEC	MYH9	up-regulates quantity by expression	transcriptional regulation
1927	TP53	TBXAS1	down-regulates quantity by repression	transcriptional regulation
1928	TP53	THBS1	up-regulates quantity by expression	transcriptional regulation
1929	TP53	TNFRSF10B	up-regulates quantity by expression	transcriptional regulation
1931	TP53	VCAN	up-regulates quantity by expression	transcriptional regulation
1932	TP53	ZDHHC5	up-regulates quantity by expression	transcriptional regulation
5498	TP53	OGG1	up-regulates quantity by expression	transcriptional regulation
1926	TP53	SIAH1	up-regulates quantity by expression	transcriptional regulation
5497	TP53	NR4A3	up-regulates quantity by expression	transcriptional activation
1906	TP53	FGF2	down-regulates quantity by repression	transcriptional regulation
5495	TP53	DRAM2	down-regulates quantity by repression	transcriptional repression
5493	TP53	BID	up-regulates quantity by expression	transcriptional regulation
5496	TP53	FASLG	up-regulates quantity by expression	transcriptional regulation
1923	TP53	PMS2	up-regulates quantity	transcriptional regulation
1921	TP53	PMAIP1	up-regulates quantity by expression	transcriptional regulation
1908	TP53	FNTB	up-regulates quantity by expression	transcriptional regulation
1895	TP53	BIRC5	down-regulates quantity by repression	transcriptional regulation
1897	TP53	CDKN1A	up-regulates quantity by expression	transcriptional regulation
1901	TP53	CRYAB	up-regulates quantity by expression	transcriptional regulation
1903	TP53	EGFR	up-regulates quantity by expression	transcriptional regulation
1905	TP53	FAS	up-regulates quantity by expression	transcriptional regulation
14700	TP53	MDM2	up-regulates quantity by expression	transcriptional regulation
1911	TP53	IL6	up-regulates quantity by expression	transcriptional regulation
1910	TP53	HR	down-regulates quantity by repression	transcriptional regulation
1909	TP53	GADD45A	up-regulates quantity by expression	transcriptional regulation
1902	TP53	CTSD	up-regulates quantity by expression	transcriptional regulation
1892	TP53	BBC3	up-regulates quantity by expression	transcriptional regulation
